grievance_type_name,grievance_sub_type_name
Collection,Missed Collection
Collection,Late Collection
Collection,Incorrect Collection
Collection,Incomplete Collection
Collection,Collection Vehicle Issues
Segregation,Lack of Segregation Bins
Segregation,Confusion Regarding Segregation
Segregation,Contamination of Waste Streams
Processing and Disposal,Illegal Dumping
Processing and Disposal,Open Burning of Waste
Processing and Disposal ,Issues with Processing Facilities
Public Cleanliness ,Street Litter
Public Cleanliness ,Open Drains and Clogged Sewers
Other,Noise Pollution from Waste Collection
Other,Complaints Regarding Sanitation Workers
Other,Lack of Public Awareness
