grievance_type,grievance_sub_type
collection,Missed Collection
collection,Late Collection
collection,Incorrect Collection
collection,Incomplete Collection
collection,Collection Vehicle Issues
segregation,Lack of Segregation Bins
segregation,Confusion Regarding Segregation
segregation,Contamination of Waste Streams
processing and disposal,Illegal Dumping
processing and disposal,Open Burning of Waste
processing and disposal ,Issues with Processing Facilities
public cleanliness ,Street Litter
public cleanliness ,Open Drains and Clogged Sewers
other,Noise Pollution from Waste Collection
other,Complaints Regarding Sanitation Workers
other,Lack of Public Awareness
